정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
독식하는재벌세,14,1540,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1529) | 타작품/시리즈 동일성 확인(11)",콘텐츠마스터 부분포함 후보(12),구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 무툰(소설 서비스) | 문피아 | 미소설 | 미스터블루(소설) | 북큐브(소설) | 원스토어(소설) | 웹소설 하이북 | 조아라(소설) | 카카오페이지(선투자) | 판무림,[e북]독식하는 재벌 3세 2권 | [e북]독식하는 재벌 3세 3권 | [e북]독식하는 재벌 3세 4권 | [e북]독식하는 재벌 3세 5권 | [e북]독식하는 재벌 3세 6권 | [e북]독식하는 재벌 3세 7권 | 독식하는 재벌 3세 | 독식하는 재벌 3세 10 | 독식하는 재벌 3세 11 | 독식하는 재벌 3세 12 | 독식하는 재벌 3세 13 | 독식하는 재벌 3세 14 | 독식하는 재벌 3세 15,0.86::111110::1980 독식하는 재벌!::소설편집팀::이선근 || 0.86::111110::1980 독식하는 재벌!::소설편집팀::이선근 || 0.86::111110::1980 독식하는 재벌!::소설편집팀::이선근
핵무기도만들어드릴까요,15,545,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(545),,Yes24(서점) | 교보문고(소설) | 구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 모픽(mofic) | 무툰(소설 서비스) | 미소설 | 미스터블루(소설) | 부커스 | 에이블리(소설) | 원스토어(소설) | 조아라(소설) | 한아름(P000003716),[연재]핵무기도 만들어 드릴까요? | 핵무기도 만들어 드릴까요? | [e북]핵무기도 만들어 드릴까요? 7권 | [e북]핵무기도 만들어 드릴까요? 8권 | [e북]핵무기도 만들어 드릴까요? 9권 | [e북]핵무기도 만들어 드릴까요? 10권 | [e북]핵무기도 만들어 드릴까요? 11권 | [e북]핵무기도 만들어 드릴까요? 12권 | 핵무기도 만들어 드릴까요? 01권 | 핵무기도 만들어 드릴까요? (외전) | 핵무기도 만들어 드릴까요? 02권 | 핵무기도 만들어 드릴까요? 03권 | 핵무기도 만들어 드릴까요? 04권 | 핵무기도 만들어 드릴까요? 05권,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아 || 303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아 || 303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아
ex급만능사제가되었다,5,503,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(503)",,네이버_연재 | 리디북스(소설) | 문피아 | 미스터블루(소설) | 원스토어(소설),EX급 만능사제가 되었다 | EX급 만능사제가 되었다 27화 | EX급 만능사제가 되었다 28화 | EX급 만능사제가 되었다 29화 | EX급 만능사제가 되었다 30화 | EX급 만능사제가 되었다 31화 | EX급 만능사제가 되었다 32화 | EX급 만능사제가 되었다,
아이돌공략법으로데뷔합니다,5,331,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(324) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(5) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2)",,네이버_연재 | 리디북스(소설) | 원스토어(소설) | 조아라(소설) | 카카오페이지(소설),아이돌 공략법으로 데뷔합니다 130화 | 아이돌 공략법으로 데뷔합니다 131화 | 아이돌 공략법으로 데뷔합니다 101화 | 아이돌 공략법으로 데뷔합니다 102화 | 아이돌 공략법으로 데뷔합니다 103화 | 아이돌 공략법으로 데뷔합니다 104화 | 아이돌 공략법으로 데뷔합니다 | 아이돌 공략법으로 데뷔합니다 [독점],109544::[정산정보없음]_[연재] 아이돌 공략법으로 데뷔합니다::소설편집팀::이선근 || A_정산서등장_정산정보없음::873627::109544::[연재] 아이돌 공략법으로 데뷔합니다 || A_정산서등장_정산정보없음::110065::109544::[연재] 아이돌 공략법으로 데뷔합니다
다따먹점혈법,12,310,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(310)",,네이버_연재 | 무툰(소설 서비스) | 문피아 | 미소설 | 미스터블루(소설) | 북큐브(소설) | 블라이스_일반결제 | 원스토어(소설) | 웹소설 하이북 | 조아라(소설) | 판무림 | 한아름(P000003716),다따먹점혈법 | 다따먹점혈법 | [연재] 다따먹점혈법,
코드네임사신,10,293,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(293),,구글(소설) | 네이버_연재 | 리디북스(소설) | 무툰(소설 서비스) | 문피아 | 미소설 | 북큐브(소설) | 알라딘(소설)(1068659313) | 원스토어(소설) | 웹소설 하이북,[10%할인] 코드네임 사신 10권 | [10%할인] 코드네임 사신 11권 | 코드네임 사신 1권 | [10%할인] 코드네임 사신 12권 | 코드네임 사신 2권 | [10%할인] 코드네임 사신 13권 | 코드네임 사신 38화 | 코드네임 사신 39화 | 코드네임 사신 40화 | 코드네임 사신 41화 | 코드네임 사신 42화 | 코드네임 사신 43화 | 코드네임 사신 10 | 코드네임 사신 11 | 코드네임 사신 12 | 코드네임 사신 13 | 코드네임 사신 14 | 코드네임 사신 15,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310 || 카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310 || 카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310
코인게이트를열었다,6,249,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(249),,Yes24(서점) | 구글(소설) | 무툰(소설 서비스) | 스낵북(알에스) | 원스토어(소설) | 웹소설 하이북,코인 게이트를 열었다 | 코인 게이트를 열었다 1권 | [10%할인] 코인 게이트를 열었다 1권 | 코인 게이트를 열었다 4권 | 코인 게이트를 열었다 5권 | 코인 게이트를 열었다 6권 | 코인 게이트를 열었다 7권 | 코인 게이트를 열었다 06권,윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429 || 윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429 || 윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429
나홀로마법사,7,236,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(236),,구글(소설) | 네이버_연재 | 리디북스(소설) | 모픽(mofic) | 밀리의 서재 | 에이블리(소설) | 원스토어(소설),나 홀로 마법사 27화 | 나 홀로 마법사 28화 | 나 홀로 마법사 29화 | 나 홀로 마법사 30화 | 나 홀로 마법사 31화 | 나 홀로 마법사 32화 | 나 홀로 마법사 | 나 홀로 마법사,카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915 || 카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915 || 카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915
sm클럽암캐가된여자들,5,192,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(192)",,네이버_연재 | 리디북스(소설) | 미스터블루(소설) | 블라이스_일반결제 | 원스토어(소설),[e북]SM클럽 -암캐가 된 여자들- 2권 | [e북]SM클럽 -암캐가 된 여자들- 3권 | [e북]SM클럽 -암캐가 된 여자들- 4권 | [e북]SM클럽 -암캐가 된 여자들- 5권 | SM클럽 -암캐가 된 여자들- 268화 | SM클럽 -암캐가 된 여자들- 266화 | SM클럽 -암캐가 된 여자들- | SM클럽 -암캐가 된 여자들-,
사립루레인학원시리즈,2,154,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(154)",,리디북스(소설) | 카카오페이지(소설),사립 루레인 학원 시리즈 152화 | 사립 루레인 학원 시리즈 153화 | 사립 루레인 학원 시리즈 154화 | 사립 루레인 학원 시리즈 155화 | 사립 루레인 학원 시리즈 156화 | 사립 루레인 학원 시리즈 157화 | 사립루레인학원 시리즈,
업어키운사매들,2,136,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(136),,미스터블루(소설) | 판무림,업어 키운 사매들 | 업어 키운 사매들,에피루스 이북클럽(B2C)::322005 || 카카오페이지(창작지원금)::322005 || 리디북스(소설)::322005 || 원스토어(소설)::322005 || 무툰(소설 서비스)::322005 || 에피루스 이북클럽(B2C)::322005 || 카카오페이지(창작지원금)::322005 || 리디북스(소설)::322005 || 원스토어(소설)::322005 || 무툰(소설 서비스)::322005
타락의검은실,1,122,같은채널 판매채널콘텐츠 있음(등급 확인),같은채널 판매채널콘텐츠 있음(등급 확인)(122),,구글(소설),타락의 검은실 2부 1권 | 타락의 검은실 1부 1권,OK_지급정산관리존재::167225::108050::타락의 검은실 1부/2부_용병애쉬_1004942_874_확정
악작현대au,2,112,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(112)",,Yes24(서점) | 교보문고(소설),[BL] 악작 현대AU 특별외전 | [BL] 악작 현대AU (외전) | 악작. 현대AU 외전 | 악작. 현대AU 특별외전,
아포칼립스의유일한플레이어,7,97,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(97),,네이버_연재 | 네이버_장르 | 리디북스(소설) | 모픽(mofic) | 미스터블루(소설) | 원스토어(소설) | 조아라(소설),[e북]아포칼립스의 유일한 플레이어 4권 | [e북]아포칼립스의 유일한 플레이어 2권 | [e북]아포칼립스의 유일한 플레이어 3권 | [e북]아포칼립스의 유일한 플레이어 5권 (완결) | 아포칼립스의 유일한 플레이어 26화 | 아포칼립스의 유일한 플레이어 27화 | 아포칼립스의 유일한 플레이어 | 아포칼립스의 유일한 플레이어,카카오페이지(소설)::308483 || 카카오페이지(소설)::308483 || 카카오페이지(소설)::308483
재벌집망나니대독자,4,58,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(58),,무툰(소설 서비스) | 미스터블루(소설) | 원스토어(소설) | 한아름(P000003716),재벌집 망나니 7대독자 | [연재] 재벌집 망나니 7대독자 | 재벌집 망나니 7대 독자,카카오페이지(창작지원금)::322006 || 리디북스(소설)::322006 || 문피아::322006 || 북큐브(소설)::322006 || 카카오페이지(소설)::322006 || 카카오페이지(창작지원금)::322006 || 리디북스(소설)::322006 || 문피아::322006 || 북큐브(소설)::322006 || 카카오페이지(소설)::322006 || 카카오페이지(창작지원금)::322006 || 리디북스(소설)::322006 || 문피아::322006 || 북큐브(소설)::322006 || 카카오페이지(소설)::322006
보수적이라며팬티는왜벗어,7,51,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(51)",,구글(소설) | 리디북스(소설) | 무툰(소설 서비스) | 미소설 | 미스터블루(소설) | 윌라(전자책) | 판무림,보수적이라며 팬티는 왜 벗어? 17화 | 보수적이라며 팬티는 왜 벗어? 18화 | 보수적이라며 팬티는 왜 벗어? 19화 | 보수적이라며 팬티는 왜 벗어? 20화 | 보수적이라며 팬티는 왜 벗어? 21화 | 보수적이라며 팬티는 왜 벗어? 22화 | 보수적이라며 팬티는 왜 벗어? 1권 | 보수적이라며 팬티는 왜 벗어? 1 | 보수적이라며 팬티는 왜 벗어? 2 | 보수적이라며 팬티는 왜 벗어? 3 | 보수적이라며 팬티는 왜 벗어? 4,
전직랭커는템빨로레벨업,6,46,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(46),,구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 원스토어(소설) | 한아름(P000003716),전직 랭커는 템빨로 레벨 업! 1권 | 전직 랭커는 템빨로 레벨 업! 2권 | 전직 랭커는 템빨로 레벨 업! 3권 | 전직 랭커는 템빨로 레벨 업! 4권 | 전직 랭커는 템빨로 레벨 업! 5권 | 전직 랭커는 템빨로 레벨 업! | 전직 랭커는 템빨로 레벨 업! 1화 | 전직 랭커는 템빨로 레벨 업! 2화 | 전직 랭커는 템빨로 레벨 업! 3화 | 전직 랭커는 템빨로 레벨 업! 4화 | [e북]전직 랭커는 템빨로 레벨 업! 1권,317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아 || 317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아 || 317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아
마왕이나노머신을숨김,5,42,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(42),,구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 원스토어(소설),마왕이 나노머신을 숨김 | 마왕이 나노머신을 숨김 1권 | 마왕이 나노머신을 숨김 2권 | 마왕이 나노머신을 숨김 3권 | 마왕이 나노머신을 숨김 4권 | 마왕이 나노머신을 숨김 5권 | 마왕이 나노머신을 숨김 6권 | 마왕이 나노머신을 숨김 [독점],317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경 || 317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경 || 317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경
sss급괴물사냥꾼,7,40,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(40),,구글(소설) | 리디북스(소설) | 모픽(mofic) | 부커스 | 에이블리(소설) | 웹소설 하이북 | 윌라(전자책),SSS급 괴물 사냥꾼 1화 | SSS급 괴물 사냥꾼 2화 | SSS급 괴물 사냥꾼 3화 | SSS급 괴물 사냥꾼 4화 | SSS급 괴물 사냥꾼 5화 | SSS급 괴물 사냥꾼 6화 | SSS급 괴물 사냥꾼 2권 | SSS급 괴물 사냥꾼 1권 | SSS급 괴물 사냥꾼 8권 | SSS급 괴물 사냥꾼 6권 | SSS급 괴물 사냥꾼 5권 | SSS급 괴물 사냥꾼 4권 | SSS급 괴물 사냥꾼,카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995 || 카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995 || 카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995
슈퍼스타누구도막을수없어,7,36,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(36),,구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 모픽(mofic) | 밀리의 서재 | 원스토어(소설),"슈퍼스타, 누구도 막을 수 없어 !!!!!! 1권 | [10%할인] 슈퍼스타, 누구도 막을 수 없어 !!!!!! 2권 | [10%할인] 슈퍼스타, 누구도 막을 수 없어 !!!!!! 3권 | [10%할인] 슈퍼스타, 누구도 막을 수 없어 !!!!!! 4권 | 슈퍼스타, 누구도 막을 수 없어 !!!!!! 2권 | 슈퍼스타, 누구도 막을 수 없어 !!!!!! 3권 | 슈퍼스타, 누구도 막을 수 없어!!!!!! | 슈퍼스타, 누구도 막을 수 없어!!!!!!",303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아 || 303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아 || 303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아
골때리는엄마들,9,30,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(30),,네이버_연재 | 네이버_장르 | 미스터블루(소설) | 밀리의 서재 | 북큐브(소설) | 웹소설 하이북 | 윌라(전자책) | 판무림 | 한아름(P000003716),골 때리는 엄마들 | 골 때리는 엄마들 | 골 때리는 엄마들 1 | 골 때리는 엄마들 2 | 골 때리는 엄마들 3 | 골 때리는 엄마들 4 | 골 때리는 엄마들 5 | 골 때리는 엄마들 6,303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아 || 303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아 || 303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아
마왕군전입을명받았습니다,5,24,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(24),,네이버_연재 | 노벨피아 (소설) | 리디북스(소설) | 모픽(mofic) | 문피아,[e북]마왕군 전입을 명 받았습니다 2권 | [e북]마왕군 전입을 명 받았습니다 3권 | [e북]마왕군 전입을 명 받았습니다 4권 | [e북]마왕군 전입을 명 받았습니다 5권 | [e북]마왕군 전입을 명 받았습니다 6권 | [e북]마왕군 전입을 명 받았습니다 7권 | 마왕군 전입을 명 받았습니다 | 마왕군 전입을 명 받았습니다,303800::[CP오디오] 마왕군 전입을 명 받았습니다(소설)::IP프로듀싱팀::노종아 || 303800::[CP오디오] 마왕군 전입을 명 받았습니다(소설)::IP프로듀싱팀::노종아 || 303800::[CP오디오] 마왕군 전입을 명 받았습니다(소설)::IP프로듀싱팀::노종아
망한세상에서나혼자각성,8,23,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(23)",,구글(소설) | 네이버_연재 | 네이버_장르 | 리디북스(소설) | 모픽(mofic) | 밀리의 서재 | 에피루스 이북클럽(B2C) | 카카오페이지(소설),망한 세상에서 나 혼자 각성 1권 | 망한 세상에서 나 혼자 각성 2권 | 망한 세상에서 나 혼자 각성 3권 | 망한 세상에서 나 혼자 각성 4권 | 망한 세상에서 나 혼자 각성 5권 | 망한 세상에서 나 혼자 각성 6권 | 망한 세상에서 나 혼자 각성 | 망한 세상에서 나 혼자 각성 1화 | 망한 세상에서 나 혼자 각성 2화 | 망한 세상에서 나 혼자 각성 3화 | 망한 세상에서 나 혼자 각성 4화,
아빠의게임,4,23,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(23),,네이버_연재 | 모픽(mofic) | 윌라(전자책) | 조아라(소설),아빠의 게임 1 | 아빠의 게임 10 | 아빠의 게임 11 | 아빠의 게임 12 | 아빠의 게임 13 | 아빠의 게임 14 | 아빠의 게임 | 아빠의 게임,303820::[CP오디오] 아빠의 게임(소설)::IP프로듀싱팀::노종아 || 303820::[CP오디오] 아빠의 게임(소설)::IP프로듀싱팀::노종아 || 303820::[CP오디오] 아빠의 게임(소설)::IP프로듀싱팀::노종아
고인물무림에가다,5,22,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(22)",,구글(소설) | 네이버_연재 | 리디북스(소설) | 원스토어(소설) | 조아라(소설),"고인물, 무림에 가다 | 고인물, 무림에 가다 1권 | [10%할인] 고인물, 무림에 가다 1권 | 고인물, 무림에 가다 [독점]",
