platform,sheet_count,file_count,status,schema_signature,top_sheet_names,header_row_distribution,row_count_min,row_count_max,column_count_min,column_count_max,flags,raw_title_candidates,external_content_id_candidates,sale_amount_candidates,settlement_base_amount_candidates,offset_amount_candidates,headers_preview,examples
네이버,67,67,adapter_candidate,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계,contentsSelling_2026-04-03(9) | contentsSelling_2026-05-06(9) | contentsSelling_2026-02-04(7) | contentsSelling_2026-03-04(7) | contentsSelling_2026-01-06(6) | contentsSelling_2025-09-03(4) | contentsSelling_2025-10-10(4) | contentsSelling_2025-11-04(3),3:67,6,575,71,71,merged_cells:67 | hidden_rows:1 | hidden_columns:1,컨텐츠(3),공급자코드(9) | 컨텐츠No(7),합계(3),,마켓수수료(추정치)(8),컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\2026년 1월 네이버 장르 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 김악개 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 북홀릭 정산상세.xlsx::contentsSelling_2026-02-04 || 네이버\1월\선투자\2026년 1월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-02-04
네이버,4,4,adapter_candidate,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,contentsSelling_2025-11-04(1) | contentsSelling_2025-12-03(1) | contentsSelling_2026-01-06(1) | contentsSelling_2025-10-10(1),3:4,7,9,72,72,merged_cells:4,컨텐츠(3),공급자코드(9) | 컨텐츠No(7),합계(3),정산금액(11),마켓수수료(추정치)(8),컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상 이용권 보정 | 마켓수수료(추정치) | 합계 | 정산금액,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06 || 네이버\25년\9월\선투자\2025년 9월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-10-10
조아라,16,16,adapter_candidate,작품명|작품코드|작가명|단가|판매건수|비율|정산금액|정산일,작품별 정산리스트_2026-1(2) | 작품별 정산리스트_2025-10(2) | 작품별 정산리스트_2025-11(2) | 작품별 정산리스트_2025-12(2) | 작품별 정산리스트_2025-9(2) | 작품별 정산리스트_2026-2(2) | 작품별 정산리스트_2026-3(2) | 작품별 정산리스트_2026-4(2),1:16,47,123,8,8,,작품명(10),작품코드(9),,정산금액(11),,작품명 | 작품코드 | 작가명 | 단가 | 판매건수 | 비율 | 정산금액 | 정산일,조아라\1월\로맨스\2026년 1월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2026-1 || 조아라\1월\판무\2026년 1월 조아라 판무 정산상세.xlsx::작품별 정산리스트_2026-1 || 조아라\25년\10월\로맨스\2025년 10월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\10월\판무\2025년 10월 조아라 판무 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\11월\로맨스\2025년 11월 조아라 로맨스 정산상세.xlsx::작품별 정산리스트_2025-11
조아라,14,14,adapter_candidate,작품명|작가명|판매건수|비율|정산금액|정산일,작품별 정산리스트_2025-10(2) | 작품별 정산리스트_2025-9(2) | 작품별 정산리스트_2026-2(2) | 작품별 정산리스트_2026-1(1) | 작품별 정산리스트_2026-1 (1)(1) | 작품별 정산리스트_2025-11(1) | 작품별 정산리스트_2025-11 (1)(1) | 작품별 정산리스트_2025-12(1),1:14,9,34,6,6,,작품명(10),,,정산금액(11),,작품명 | 작가명 | 판매건수 | 비율 | 정산금액 | 정산일,조아라\1월\로맨스\2026년 1월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2026-1 || 조아라\1월\판무\2026년 1월 조아라 판무 단행본 정산상세.xlsx::작품별 정산리스트_2026-1 (1) || 조아라\25년\10월\로맨스\2025년 10월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\10월\판무\2025년 10월 조아라 판무 단행본 정산상세.xlsx::작품별 정산리스트_2025-10 || 조아라\25년\11월\로맨스\2025년 11월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2025-11
조아라,5,5,adapter_candidate,작품명|작가명|금액|비율|정산금액|정산일,후원쿠폰-작품별 정산_2026-1(2) | 후원쿠폰-작품별 정산_2025-10(1) | 후원쿠폰-작품별 정산_2025-12(1) | 후원쿠폰-작품별 정산_2026-2(1),1:5,2,3,6,6,,작품명(10),,,정산금액(11),,작품명 | 작가명 | 금액 | 비율 | 정산금액 | 정산일,조아라\1월\로맨스\2026년 1월 조아라 로맨스 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-1 || 조아라\1월\판무\2026년 1월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-1 || 조아라\25년\10월\판무\2025년 10월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2025-10 || 조아라\25년\12월\판무\2025년 12월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2025-12 || 조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-2
조아라,2,2,adapter_candidate,작품명|분류|작가명|이용권|5kb조회수|10kb조회수|정산금액|정산일,작품별  정산리스트_2025-10(1) | 작품별  정산리스트_2025-9(1),1:2,4,11,8,8,,작품명(10),,,정산금액(11),,작품명 | 분류 | 작가명 | 이용권 | 5kb조회수 | 10kb조회수 | 정산금액 | 정산일,조아라\25년\10월\판무\2025년 10월 조아라 판무 노블레스 정산상세.xlsx::작품별  정산리스트_2025-10 || 조아라\25년\9월\판무\2025년 9월 조아라 판무 노블레스 정산상세.xlsx::작품별  정산리스트_2025-9
조아라,2,2,adapter_candidate,작품명|작품코드|작가명|판매건수|비율|정산금액|정산일,작품별 정산리스트_2026-4 (1)(1) | 작품별 정산리스트_2026-4(1),1:2,14,37,7,7,,작품명(10),작품코드(9),,정산금액(11),,작품명 | 작품코드 | 작가명 | 판매건수 | 비율 | 정산금액 | 정산일,조아라\4월\로맨스\2026년 4월 조아라 로맨스 단행본 정산상세.xlsx::작품별 정산리스트_2026-4 (1) || 조아라\4월\판무\2026년 4월 조아라 판무 단행본 정산상세.xlsx::작품별 정산리스트_2026-4
스토린랩,7,7,manual_review,서점명|판매건수|매출|b2bc정산율|정산총액,정리(7),6:7,12,13,7,7,merged_cells:7,,,매출(3),정산총액(11),,서점 명 | 판매건수 | 매출 | B2BC 정산율 | 정산총액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::정리
스토린랩,6,6,adapter_candidate,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,원스(6),1:6,145,216,156,215,large_column_count:6,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 키다리코드(5) | 코드(3) | 파트너ID(3),판매금액(9) | 판매총액(4) | 합계(3),정산액(10) | 입금액(8) | 정액제 정산대상액(4) | 정산처(2) | 정산유형(2) | 2차정산여부(2),취소금액(8),IOS | AOS | 쿠폰/시다무/포인트등 | 판매건수 | 취소건수 | 고객결제 | 고객결제(현금영수증) | 판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 타입 | 정액제 정산대상액 | 판매금액 | 취소금액 | 합계 | 고객결제 서비스이용료 | 차감 | 정산유형 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::원스
스토린랩,2,2,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(2),1:2,28,43,144,150,large_column_count:2,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스(북패스) || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스(북패스)
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|채널상품명|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|매출지분|전체이용금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,54,54,158,158,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스(북패스)
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,원스(1),1:1,209,209,175,175,large_column_count:1,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 키다리코드(5) | 코드(3) | 파트너ID(3),판매금액(9) | 판매총액(4) | 합계(3),정산액(10) | 입금액(8) | 정액제 정산대상액(4) | 정산처(2) | 정산유형(2) | 2차정산여부(2),취소금액(8),IOS | AOS | 쿠폰/시다무/포인트등 | 판매건수 | 취소건수 | 고객결제 | 고객결제(현금영수증) | 판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 정액제 정산대상액 | 판매금액 | 취소금액 | 합계 | 고객결제 서비스이용료 | 차감 | 정산유형 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::원스
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,43,43,137,137,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::원스(북패스)
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|타입|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,36,36,122,122,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 타입 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::원스(북패스)
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|타이틀|작가|출판사|정산처|공급유형|분류|구분|장르|사용코인|사용금액|취소코인|취소금액|합계금액|결제|이벤트|합계코인|판매총액|입금액|정산율|정산액,무툰(1),1:1,3,3,180,180,large_column_count:1,타이틀(8),,판매총액(4) | 사용코인(3) | 합계금액(2) | 합계코인(2),정산액(10) | 입금액(8) | 정산처(2),취소금액(8) | 취소코인(3),판매처 | 판매월 | 번호 | 타이틀 | 작가 | 출판사 | 정산처 | 공급유형 | 분류 | 구분 | 장르 | 사용코인 | 사용금액 | 취소코인 | 취소금액 | 합계금액 | 결제 | 이벤트 | 합계코인 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::무툰
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,44,44,132,132,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::원스(북패스)
스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|채널상품명|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,27,27,164,164,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx::원스(북패스)
판무림,8,8,adapter_candidate,no|시리즈코드|각권코드|대분류|중분류|작품제목|회차제목|저자|cp|출판사|웹판매건수|앱판매건수|판매금액|웹판매건수|앱판매건수|판매금액|이용건수|이용건수|판매금액|포인트사용|판매금액,세부내역(8),4:8,2192,4081,27,27,,작품 제목(8) | 회차 제목(6),각 권 코드(6) | 시리즈 코드(5),판매금액(9),,,판매금액 | 웹판매건수 | 앱판매건수 | 이용건수 | NO | 시리즈 코드 | 각 권 코드 | 대분류 | 중분류 | 작품 제목 | 회차 제목 | 저자 | CP | 출판사 | 포인트 사용,판무림\1월\2026년 1월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx::세부내역
판무림,1,1,manual_review,일반작품판매액|2927350,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\1월\2026년 1월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|4031340,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|4275900,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|4283960,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|3606480,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|2906300,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\2월\2026년 2월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|2019170,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\3월\2026년 3월 판무림 정산상세.xlsx::표지
판무림,1,1,manual_review,일반작품판매액|1574920,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\4월\2026년 4월 판무림 정산상세.xlsx::표지
윌라,7,7,manual_review,__NO_SIGNATURE__::sheet::cols16,sheet(7),none:7,885,971,16,16,no_header_candidate:7,,,,,,,윌라\1월\2026년 1월 윌라 정산상세.xlsx::sheet || 윌라\25년\10월\2025년 10월 윌라 정산상세.xlsx::sheet || 윌라\25년\11월\2025년 11월 윌라 정산상세.xlsx::sheet || 윌라\25년\12월\2025년 12월 윌라 정산상세.xlsx::sheet || 윌라\25년\9월\2025년 윌라 9월 정산상세.xlsx::sheet
윌라,7,7,manual_review,__NO_SIGNATURE__::콘텐츠 가격 변동 이력::cols1,콘텐츠 가격 변동 이력(7),none:7,1,1,1,1,no_header_candidate:7,,,,,,,윌라\1월\2026년 1월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\10월\2025년 10월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\11월\2025년 11월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\12월\2025년 12월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\9월\2025년 윌라 9월 정산상세.xlsx::콘텐츠 가격 변동 이력
구글,9,9,manual_review,__NO_SIGNATURE__::GoogleSalesTransactionReport::cols28,GoogleSalesTransactionReport(9),none:9,2930,6660,28,28,no_header_candidate:9 | large_row_count:6,,,,,,,구글\1월\2026년 1월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\10월\2025년 10월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\11월\2025년 11월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\12월\2025년 12월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\9월\2025년 8월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport
한아름,8,8,manual_review,시간매출|건당매출|총매출액|배분률|정산금액,Sheet1(7) | 정산내역서(1),27:7 | 19:1,2110,11865,11,11,merged_cells:7 | large_row_count:7,,,총매출액(15) | 시간매출(2) | 건당매출(2),정산금액(11),,시간매출 | 건당매출 | 총매출액 | 배분률 | 정산금액,한아름\1월\2025년 1월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\10월\2025년 10월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\11월\2025년 11월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\12월\2025년 12월 한아름 정산상세.xlsx::정산내역서 || 한아름\25년\9월\2025년 9월 한아름 정산상세.xlsx::Sheet1
